assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,0,27,100,100,0,69140,0,0,-3,3,1.0,0,2,0.8,1.3,1,Shkodran,0.8,2,0,7.8,1,False,22.6,103,,2019-11-28T23:00:21.541666Z,52,0,0,0,69140.jpg,2.5,0,0,Mustafi,0.3,False,None,a,1,3,54.0,5,8069,58,32664,170,0.2,1.0,Mustafi,0
0,0,26,75,75,0,98745,0,0,-1,1,22.7,0,2,0.0,0.4,0,Héctor,0.0,6,0,6.9,2,False,30.8,262,Hamstring injury - 75% chance of playing,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,0.3,0,0,Bellerín,0.2,False,None,d,1,3,15.0,1,34825,45,35623,558,0.0,0.2,Bellerín,2
2,1,196,0,0,1,111457,0,0,-3,3,149.6,0,2,0.0,0.0,0,Sead,1.3,17,0,37.8,3,False,174.4,928,Ankle injury - Expected back 11 Jan,2019-12-15T19:30:19.136195Z,52,0,0,0,111457.jpg,1.9,0,0,Kolasinac,0.5,False,None,i,1,3,55.0,27,46970,4,114783,1089,0.2,5.2,Kolasinac,2
2,3,159,100,100,2,154043,0,0,-4,4,146.7,1,2,1.7,2.2,1,Ainsley,1.7,15,0,37.0,4,False,195.8,850,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.7,1,0,Maitland-Niles,2.5,False,None,a,1,3,33.0,27,551600,1220,573111,2300,0.4,5.9,Maitland-Niles,1
0,2,240,75,100,2,39476,0,0,-1,1,31.4,0,2,0.5,1.2,2,Sokratis,0.7,24,1,46.3,5,False,359.2,1426,Knock - 75% chance of playing,2019-12-26T17:00:15.332949Z,49,0,0,0,39476.jpg,2.2,0,0,Papastathopoulos,1.3,False,None,d,1,3,71.0,35,108123,98,151962,2251,0.1,7.1,Sokratis,5
0,1,54,0,0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,6,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,None,u,1,3,12.0,10,28059,11,88094,72,0.0,2.0,Monreal,0
0,0,0,0,0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,7,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,None,u,1,3,0.0,0,504,12,12487,24,0.0,0.0,Koscielny,0
0,0,0,100,100,0,233963,0,0,-1,1,0.0,0,2,0.0,0.5,0,Konstantinos,0.0,0,0,0.0,8,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,None,a,1,3,0.0,0,864,22,4259,27,0.0,0.0,Mavropanos,0
0,0,0,0,0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,None,u,1,3,0.0,0,348,8,2472,8,0.0,0.0,Jenkinson,0
0,0,9,75,75,0,156074,0,0,0,0,0.4,0,2,0.0,0.4,0,Rob,0.0,2,0,1.1,10,False,8.4,76,Knee injury - 75% chance of playing,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,None,d,1,3,2.0,1,10364,9,12648,153,0.0,0.2,Holding,0
